freeze_index,host_timestamp_iso,frame_idx,sensor_table_x_m,sensor_table_y_m,sensor_table_z_m,mag_table_x_uT,mag_table_y_uT,mag_table_z_uT
1,2026-07-15T17:25:53.906,1820,0.025914596,-0.114684634,0.02944417,-1114.6351782332702,30.60456910277821,-175.71789833400814
2,2026-07-15T17:25:54.277,1829,0.024666892,-0.11539544,0.027627163,-1147.6879699939536,46.801773818346334,-154.60649242064244
3,2026-07-15T17:25:54.611,1838,0.024518829,-0.115367115,0.027406067,-1102.9843102313089,34.73180607653662,-150.7914554284354
4,2026-07-15T17:25:54.962,1847,0.024415838,-0.11543997,0.027217982,-1134.8671492383191,43.10484027395015,-168.37391818404612
5,2026-07-15T17:25:55.329,1856,0.024279334,-0.11541231,0.026881931,-1099.8255365608945,29.900812556386153,-159.9288295993195
6,2026-07-15T17:25:55.703,1866,0.024457915,-0.11538454,0.027259083,-1134.1134539148027,45.07080404865345,-161.72599133053524
7,2026-07-15T17:25:56.075,1876,0.020570343,-0.11498208,0.029228736,-1191.4832234712242,-115.20190392066509,-93.18663809621127
8,2026-07-15T17:25:56.437,1886,0.011816796,-0.10112982,0.05897438,-1189.108671222526,-436.9571856901452,-18.58052467362203
9,2026-07-15T17:25:56.781,1895,0.00809539,-0.09791969,0.05177424,-1379.6850734708103,-488.37467218807615,113.31605185071831
10,2026-07-15T17:25:57.128,1904,-0.0039239265,-0.09903951,0.060506973,-1174.7886855598244,-486.01644870284946,210.7060888320287
11,2026-07-15T17:25:57.483,1914,0.018155161,-0.09450246,0.05754421,-1293.7623944588597,-488.6374832055776,112.36003155302862
12,2026-07-15T17:25:57.829,1924,0.04597992,-0.08461213,0.052326113,-1696.0525490690125,-355.2280382423949,-760.8342734413084
13,2026-07-15T17:25:58.201,1934,0.060525045,-0.089780144,0.040982105,-1120.4897091722476,19.88322458615312,-695.0997906913434
14,2026-07-15T17:25:58.550,1943,0.05271536,-0.112913035,0.03648448,-989.1431006889903,108.60058362022662,-432.5599260180212
15,2026-07-15T17:25:58.905,1953,0.04800781,-0.12756398,0.03752782,-811.1959006518385,115.37492759501443,-207.364020138735
16,2026-07-15T17:25:59.262,1963,0.037022956,-0.12631364,0.04280089,-864.5681139045236,-33.876184134601516,-127.8158071916497
17,2026-07-15T17:25:59.613,1972,0.025272373,-0.1223437,0.04227087,-2.7073167499930344,0.11763871564592218,-0.9236325826801118
18,2026-07-15T17:25:59.979,1982,0.020933906,-0.109900445,0.03856741,-1254.0931663118592,-75.60890776388999,-57.95363040092832
19,2026-07-15T17:26:00.313,1990,0.007881686,-0.10015772,0.033149745,-1558.6736387407407,-53.374801344528684,129.422248767865
20,2026-07-15T17:26:00.682,2000,-0.002363336,-0.09634587,0.026673054,-1640.794122637972,-43.668880068507775,287.23931839191323
21,2026-07-15T17:26:01.036,2010,-0.017637156,-0.09439749,0.026875723,-1439.0367041903487,-22.019425723308,607.5419811698578
22,2026-07-15T17:26:01.393,2019,-0.04033937,-0.09030736,0.034620933,-897.7678214923842,-168.71952628487404,819.8150158072408
23,2026-07-15T17:26:01.766,2028,-0.061611135,-0.08483428,0.035359696,-594.922011697442,-185.57294471081696,788.2848356966055
24,2026-07-15T17:26:02.132,2038,-0.042390853,-0.07949998,0.042237055,-769.4758893361864,-199.4286576517114,902.277017460559
25,2026-07-15T17:26:02.507,2048,0.0054304064,-0.07749423,0.042753533,-2588.165711372853,-465.0654369358992,249.1483289959463
26,2026-07-15T17:26:02.853,2057,0.043286998,-0.087867,0.04699219,-1337.7969769198758,-72.42710495046144,-718.3860821400534
27,2026-07-15T17:26:03.191,2066,0.056200396,-0.08892582,0.07041243,-665.8299191946502,-107.46161240387443,-1006.7292439205314
28,2026-07-15T17:26:03.557,2076,0.04226192,-0.0966206,0.059735894,41.35674171600768,9.988264640659045,193.56121895695838
29,2026-07-15T17:26:04.595,2103,0.038600348,-0.09285448,0.087834924,611.1648790536982,415.1867349727627,-306.6308296860178
30,2026-07-15T17:26:04.945,2112,0.03537436,-0.09563556,0.08614127,708.8043326445794,426.17278313596375,-139.92650548920264
31,2026-07-15T17:26:05.284,2121,0.032269515,-0.097841755,0.11028925,645.455096946073,371.1333634024875,-50.783800526274526
32,2026-07-15T17:26:05.684,2128,0.02444799,-0.094941884,0.11144068,645.0952156703801,373.9287120672662,-30.995661162518193
33,2026-07-15T17:26:06.098,2134,0.020352907,-0.09477442,0.09848589,643.161415803165,372.91820282578766,-64.85874823994679
34,2026-07-15T17:26:06.500,2139,0.022257002,-0.097121865,0.09840709,635.7278875454513,374.1406216509153,-113.13751909806447
35,2026-07-15T17:26:06.919,2144,0.01942908,-0.10004735,0.10398365,628.836015774703,373.08243726699453,-149.35196773901774
36,2026-07-15T17:26:07.266,2148,0.022280432,-0.104013145,0.11950026,630.3712658148636,368.49042205715233,-154.2015761498814
37,2026-07-15T17:26:08.353,2163,0.030341763,-0.11365021,0.111187465,-161.6951821864094,346.7550915418258,-640.739279697697
38,2026-07-15T17:26:08.715,2168,0.061554912,-0.10962524,0.10912232,-533.8575681111902,387.3188392479855,-349.15822163311464
39,2026-07-15T17:26:09.078,2174,0.038225338,-0.11744101,0.11775188,-662.4497367078387,331.92733911403343,-88.97099462405039
40,2026-07-15T17:26:09.454,2181,0.032683127,-0.12624137,0.12938394,-680.3927623830549,300.66127226824284,-59.99781875032605
