freeze_index,host_timestamp_iso,frame_idx,sensor_table_x_m,sensor_table_y_m,sensor_table_z_m,mag_table_x_uT,mag_table_y_uT,mag_table_z_uT
1,2026-07-09T16:58:04.711,122,-0.08632415533065796,-0.1664743423461914,0.05355183035135269,-0.0007951632142066956,-0.009801357984542847,0.002278536558151245
2,2026-07-09T16:58:05.063,129,-0.08606676012277603,-0.16665615141391754,0.05378938466310501,-0.0016542226076126099,-0.00928334891796112,0.0024504996836185455
3,2026-07-09T16:58:05.398,136,-0.09400596469640732,-0.16628189384937286,0.043253686279058456,-0.000723913311958313,-0.009022697806358337,0.0016166754066944122
4,2026-07-09T16:58:05.750,143,-0.0786009281873703,-0.18148933351039886,0.08377008140087128,-0.0013226717710494995,-0.009043902158737183,0.0014105439186096191
5,2026-07-09T16:58:06.095,150,-0.08299800753593445,-0.17700298130512238,0.0730716735124588,-0.0006250590085983276,-0.0097646564245224,0.0026300325989723206
6,2026-07-09T16:58:06.443,158,-0.07894008606672287,-0.17964324355125427,0.08117442578077316,-0.0006488189101219177,-0.01010461151599884,0.002148576080799103
7,2026-07-09T16:58:06.804,166,-0.04998689144849777,-0.16368192434310913,0.0777871310710907,-0.0018078312277793884,-0.008530914783477783,0.0012191757559776306
8,2026-07-09T16:58:07.181,175,0.013176998123526573,-0.14195668697357178,0.07986080646514893,-0.0025290781632065773,-0.009396553039550781,0.002377420663833618
9,2026-07-09T16:58:07.524,183,0.022691616788506508,-0.115443155169487,0.0416291281580925,-0.002041265368461609,-0.009750768542289734,0.002878710627555847
10,2026-07-09T16:58:07.863,190,0.028589744120836258,-0.09714281558990479,0.04360725358128548,-0.004092196002602577,-0.007555782794952393,0.0021487586200237274
11,2026-07-09T16:58:08.366,201,-0.03992432728409767,-0.11186864972114563,0.044278573244810104,-0.0018514208495616913,-0.009707875549793243,0.0023119300603866577
12,2026-07-09T16:58:08.747,209,-0.10046826303005219,-0.09693395346403122,0.04120556265115738,-0.001593656837940216,-0.008727096021175385,0.0017944052815437317
13,2026-07-09T16:58:09.112,216,-0.11521882563829422,-0.06850887089967728,0.03884634003043175,-0.0031765252351760864,-0.010631069540977478,0.002880338579416275
14,2026-07-09T16:58:09.594,227,-0.10058260709047318,-0.042194467037916183,0.06462336331605911,-0.0008310079574584961,-0.009451981633901596,0.00238172709941864
15,2026-07-09T16:58:09.970,236,-0.06274355947971344,-0.024677535519003868,0.15223664045333862,-0.0009830296039581299,-0.009768063202500343,0.0015691965818405151
16,2026-07-09T16:58:10.329,243,0.040563106536865234,-0.025943471118807793,0.21598069369792938,-0.0027025528252124786,-0.009895263239741325,0.0021099448204040527
17,2026-07-09T16:58:10.897,257,0.1272067278623581,-0.03874559700489044,0.16304735839366913,-0.006683483719825745,-0.005102772265672684,0.006234645843505859
18,2026-07-09T16:58:11.244,265,0.08396554738283157,-0.04665648564696312,0.1580326408147812,-0.0029827281832695007,-0.0044043101370334625,0.00918145477771759
19,2026-07-09T16:58:11.622,274,0.11161494255065918,-0.06163260340690613,0.1580379158258438,-0.0016295760869979858,-0.005250856280326843,0.010391905903816223
20,2026-07-09T16:58:11.991,283,0.1327379047870636,-0.06665654480457306,0.2204684317111969,-0.006452679634094238,-0.0070716142654418945,0.0033089518547058105
21,2026-07-09T16:58:12.965,306,0.015958882868289948,-0.04516059532761574,0.2952471375465393,0.002122078090906143,-0.008277568966150284,-0.005438029766082764
22,2026-07-09T16:58:13.302,314,-0.013186018913984299,-0.06074734032154083,0.30578672885894775,0.0031898748129606247,-0.0070785656571388245,-0.006504803895950317
23,2026-07-09T16:58:13.667,322,-0.015113145112991333,-0.058219268918037415,0.2949824035167694,0.0028019817546010017,-0.00818014144897461,-0.005275219678878784
24,2026-07-09T16:58:14.264,336,0.022272950038313866,-0.051589496433734894,0.30047088861465454,-0.0006704293191432953,-0.009204480797052383,-0.004173964262008667
25,2026-07-09T16:58:14.598,344,0.03708148002624512,-0.052010394632816315,0.2608099579811096,-0.0033236294984817505,-0.00903845950961113,-0.003139019012451172
