host_timestamp_iso,host_time_monotonic_s,frame_idx,raw_serial_line,sensor_data_received,serial_time_us,raw_mag_x_uT,raw_mag_y_uT,raw_mag_z_uT,raw_acc_x,raw_acc_y,raw_acc_z,raw_gyr_x,raw_gyr_y,raw_gyr_z,sensor_table_x_m,sensor_table_y_m,sensor_table_z_m,mag_table_x_uT,mag_table_y_uT,mag_table_z_uT,table_visible,board88_visible
2026-07-15T14:17:43.354,520905.796,0,"28580854,155.00,27.50,200.00,0.31,0.04,0.91,3.42,1.22,1.40",1,28580854.0,155.0,27.5,200.0,0.31,0.04,0.91,3.42,1.22,1.4,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:43.524,520905.968,1,"28796494,160.00,-7.50,202.50,0.30,0.04,0.91,3.23,1.34,0.61",1,28796494.0,160.0,-7.5,202.5,0.3,0.04,0.91,3.23,1.34,0.61,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:43.605,520906.046,2,"29012126,172.50,20.00,205.00,0.32,0.04,0.91,4.03,2.32,-0.67",1,29012126.0,172.5,20.0,205.0,0.32,0.04,0.91,4.03,2.32,-0.67,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:43.673,520906.109,3,"29227835,152.50,-12.50,210.00,0.31,0.05,0.92,3.05,3.11,0.55",1,29227835.0,152.5,-12.5,210.0,0.31,0.05,0.92,3.05,3.11,0.55,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:43.739,520906.171,4,"29443566,157.50,-7.50,265.00,0.30,0.04,0.93,3.91,2.93,-0.49",1,29443566.0,157.5,-7.5,265.0,0.3,0.04,0.93,3.91,2.93,-0.49,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:43.810,520906.25,5,"29659220,180.00,30.00,195.00,0.31,0.04,0.92,3.23,3.72,0.73",1,29659220.0,180.0,30.0,195.0,0.31,0.04,0.92,3.23,3.72,0.73,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:43.871,520906.312,6,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:43.924,520906.359,7,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:43.978,520906.421,8,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:44.033,520906.468,9,"29874850,192.50,10.00,220.00,0.31,0.04,0.93,2.99,3.30,1.04",1,29874850.0,192.5,10.0,220.0,0.31,0.04,0.93,2.99,3.3,1.04,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:44.081,520906.515,10,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:44.129,520906.562,11,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:44.178,520906.609,12,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:44.233,520906.671,13,"30090503,167.50,15.00,230.00,0.30,0.04,0.91,3.78,2.26,1.22",1,30090503.0,167.5,15.0,230.0,0.3,0.04,0.91,3.78,2.26,1.22,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:44.284,520906.718,14,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:44.336,520906.765,15,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:44.384,520906.828,16,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:44.438,520906.875,17,"30306177,185.00,40.00,217.50,0.34,0.01,0.86,5.55,10.07,-0.67",1,30306177.0,185.0,40.0,217.5,0.34,0.01,0.86,5.55,10.07,-0.67,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:44.478,520906.921,18,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:44.522,520906.953,19,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:44.567,520907.0,20,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:44.614,520907.046,21,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:44.665,520907.109,22,"30521815,155.00,-10.00,235.00,0.30,0.00,0.90,2.75,8.97,-2.50",1,30521815.0,155.0,-10.0,235.0,0.3,0.0,0.9,2.75,8.97,-2.5,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:44.714,520907.156,23,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:44.758,520907.187,24,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:44.800,520907.234,25,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:44.845,520907.281,26,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:44.899,520907.328,27,"30737457,135.00,2.50,200.00,0.35,0.05,0.88,-4.76,11.66,6.35",1,30737457.0,135.0,2.5,200.0,0.35,0.05,0.88,-4.76,11.66,6.35,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:44.942,520907.375,28,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:44.993,520907.437,29,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:45.043,520907.484,30,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:45.096,520907.531,31,"30953097,152.50,-12.50,190.00,0.40,0.22,0.95,2.01,2.38,-15.08",1,30953097.0,152.5,-12.5,190.0,0.4,0.22,0.95,2.01,2.38,-15.08,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:45.146,520907.578,32,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:45.193,520907.625,33,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:45.252,520907.687,34,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:45.309,520907.75,35,"31168787,160.00,-22.50,240.00,0.41,0.17,0.88,-6.96,4.58,6.65",1,31168787.0,160.0,-22.5,240.0,0.41,0.17,0.88,-6.96,4.58,6.65,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:45.357,520907.796,36,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:45.406,520907.843,37,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:45.455,520907.89,38,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:45.516,520907.953,39,"31384373,142.50,7.50,247.50,0.58,0.22,0.56,53.04,27.34,-43.09",1,31384373.0,142.5,7.5,247.5,0.58,0.22,0.56,53.04,27.34,-43.09,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:45.566,520908.0,40,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:45.627,520908.062,41,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:45.680,520908.125,42,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:45.736,520908.171,43,"31599931,160.00,-37.50,217.50,0.46,0.42,0.63,11.17,-10.56,-5.37",1,31599931.0,160.0,-37.5,217.5,0.46,0.42,0.63,11.17,-10.56,-5.37,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:45.792,520908.234,44,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:45.845,520908.281,45,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:45.903,520908.343,46,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:45.962,520908.406,47,"31815509,155.00,-50.00,235.00,0.51,0.44,0.75,52.25,8.61,-2.26",1,31815509.0,155.0,-50.0,235.0,0.51,0.44,0.75,52.25,8.61,-2.26,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:46.022,520908.453,48,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2026-07-15T14:17:46.082,520908.515,49,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
