host_timestamp_iso,host_time_monotonic_s,frame_idx,raw_serial_line,sensor_data_received,serial_time_us,raw_mag_x_uT,raw_mag_y_uT,raw_mag_z_uT,raw_acc_x,raw_acc_y,raw_acc_z,raw_gyr_x,raw_gyr_y,raw_gyr_z,sensor_table_x_m,sensor_table_y_m,sensor_table_z_m,mag_table_x_uT,mag_table_y_uT,mag_table_z_uT,table_visible,board88_visible
2026-07-09T16:47:16.439,11480.062,0,"8961897,45.00,45.00,235.00,-0.03,-0.06,-1.03,4.21,7.14,0.73",1,8961897.0,45.0,45.0,235.0,-0.03,-0.06,-1.03,4.21,7.14,0.73,0.2337649166584015,-0.18339911103248596,0.02431769110262394,-0.003948643803596497,-0.011443287134170532,0.001283392310142517,1,1
2026-07-09T16:47:16.572,11480.203,1,"9178440,62.50,100.00,182.50,-0.03,-0.06,-1.03,5.13,3.91,0.67",1,9178440.0,62.5,100.0,182.5,-0.03,-0.06,-1.03,5.13,3.91,0.67,0.23417356610298157,-0.18275409936904907,0.025333374738693237,-0.006322547793388367,-0.008536174893379211,0.002278300002217293,1,1
2026-07-09T16:47:16.659,11480.296,2,"9394916,80.00,77.50,180.00,-0.03,-0.06,-1.02,4.21,2.87,-0.55",1,9394916.0,80.0,77.5,180.0,-0.03,-0.06,-1.02,4.21,2.87,-0.55,0.23373138904571533,-0.18354332447052002,0.02417091466486454,-0.005212754011154175,-0.008636504411697388,0.0032021328806877136,1,1
2026-07-09T16:47:16.726,11480.359,3,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2335895597934723,-0.18392333388328552,0.0236410740762949,-0.005218774080276489,-0.00862973928451538,0.003210538998246193,1,1
2026-07-09T16:47:16.783,11480.406,4,"9611422,87.50,55.00,185.00,-0.03,-0.06,-1.02,4.76,5.13,0.79",1,9611422.0,87.5,55.0,185.0,-0.03,-0.06,-1.02,4.76,5.13,0.79,0.2337949275970459,-0.18329259753227234,0.024611130356788635,-0.004157498478889465,-0.009064257144927979,0.0035804975777864456,1,1
2026-07-09T16:47:16.837,11480.468,5,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22854085266590118,-0.18353436887264252,0.016955474391579628,-0.004155412316322327,-0.009038403630256653,0.0036476515233516693,1,1
2026-07-09T16:47:16.888,11480.515,6,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23441053926944733,-0.1821090131998062,0.026175737380981445,-0.004148468375205994,-0.009081274271011353,0.0035477206110954285,1,1
2026-07-09T16:47:16.943,11480.578,7,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23370805382728577,-0.18343482911586761,0.024223187938332558,-0.004157587885856628,-0.009068697690963745,0.00356917642056942,1,1
2026-07-09T16:47:16.986,11480.609,8,"9827912,100.00,40.00,200.00,-0.03,-0.06,-1.02,4.27,5.92,0.43",1,9827912.0,100.0,40.0,200.0,-0.03,-0.06,-1.02,4.27,5.92,0.43,0.2335759550333023,-0.18382050096988678,0.023836636915802956,-0.0035356134176254272,-0.009952366352081299,0.004177317023277283,1,1
2026-07-09T16:47:17.043,11480.671,9,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23436880111694336,-0.18214498460292816,0.026091432198882103,-0.00354158878326416,-0.009971991181373596,0.004125118255615234,1,1
2026-07-09T16:47:17.087,11480.718,10,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23436880111694336,-0.18214498460292816,0.026091432198882103,-0.00354158878326416,-0.009971991181373596,0.004125118255615234,1,1
2026-07-09T16:47:17.131,11480.765,11,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23379553854465485,-0.1833985298871994,0.024312196299433708,-0.0035404562950134277,-0.009962484240531921,0.004148956388235092,1,1
2026-07-09T16:47:17.208,11480.843,12,"10044467,92.50,80.00,200.00,-0.03,-0.06,-1.02,5.19,4.94,0.61",1,10044467.0,92.5,80.0,200.0,-0.03,-0.06,-1.02,5.19,4.94,0.61,0.23434315621852875,-0.18232028186321259,0.025753581896424294,-0.005504578351974487,-0.009664580225944519,0.0036994516849517822,1,1
2026-07-09T16:47:17.271,11480.906,13,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23346681892871857,-0.1836230605840683,0.024029143154621124,-0.005484864115715027,-0.00964994728565216,0.003766387701034546,1,1
