host_timestamp_iso,host_time_monotonic_s,frame_idx,raw_serial_line,sensor_data_received,serial_time_us,raw_mag_x_uT,raw_mag_y_uT,raw_mag_z_uT,raw_acc_x,raw_acc_y,raw_acc_z,raw_gyr_x,raw_gyr_y,raw_gyr_z,sensor_table_x_m,sensor_table_y_m,sensor_table_z_m,mag_table_x_uT,mag_table_y_uT,mag_table_z_uT,table_visible,board88_visible
2026-07-15T17:15:41.835,6090.796,0,"586443126,-82.50,52.50,152.50,-0.04,-0.24,-0.99,3.66,4.03,0.06",1,586443126.0,-82.5,52.5,152.5,-0.04,-0.24,-0.99,3.66,4.03,0.06,nan,nan,nan,nan,nan,nan,1,0
2026-07-15T17:15:41.941,6090.906,1,"586658779,-80.00,92.50,127.50,-0.03,-0.24,-0.98,3.85,4.27,0.37",1,586658779.0,-80.0,92.5,127.5,-0.03,-0.24,-0.98,3.85,4.27,0.37,nan,nan,nan,nan,nan,nan,1,0
2026-07-15T17:15:41.991,6090.953,2,"586874479,-75.00,125.00,90.00,-0.03,-0.24,-0.99,3.54,4.09,0.37",1,586874479.0,-75.0,125.0,90.0,-0.03,-0.24,-0.99,3.54,4.09,0.37,nan,nan,nan,nan,nan,nan,1,0
2026-07-15T17:15:42.033,6091.0,3,"587090122,-20.00,102.50,95.00,-0.03,-0.24,-0.98,3.72,4.39,0.31",1,587090122.0,-20.0,102.5,95.0,-0.03,-0.24,-0.98,3.72,4.39,0.31,nan,nan,nan,nan,nan,nan,1,0
2026-07-15T17:15:42.073,6091.031,4,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
2026-07-15T17:15:42.108,6091.078,5,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
2026-07-15T17:15:42.151,6091.109,6,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
2026-07-15T17:15:42.189,6091.156,7,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
2026-07-15T17:15:42.231,6091.187,8,"587306802,-77.50,97.50,112.50,-0.04,-0.24,-0.99,3.48,3.91,0.37",1,587306802.0,-77.5,97.5,112.5,-0.04,-0.24,-0.99,3.48,3.91,0.37,nan,nan,nan,nan,nan,nan,1,0
2026-07-15T17:15:42.271,6091.234,9,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
2026-07-15T17:15:42.308,6091.265,10,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
