freeze_index,host_timestamp_iso,frame_idx,sensor_table_x_m,sensor_table_y_m,sensor_table_z_m,mag_table_x_uT,mag_table_y_uT,mag_table_z_uT
1,2026-07-09T16:57:49.678,199,-0.017131423577666283,-0.09951535612344742,0.17132730782032013,-0.0006627198308706284,-0.010026432573795319,1.1801719665527344e-05
2,2026-07-09T16:57:50.385,222,-0.11747892946004868,-0.14121580123901367,0.18086840212345123,-0.0013227984309196472,-0.009225830435752869,0.00015749037265777588
3,2026-07-09T16:57:50.739,232,-0.04508008435368538,-0.1306857168674469,0.19834300875663757,-0.002690061926841736,-0.01007041335105896,0.001405462622642517
4,2026-07-09T16:57:51.121,242,-0.06418836861848831,-0.18079319596290588,0.11394427716732025,-0.001534782350063324,-0.010229825973510742,0.0012790486216545105
5,2026-07-09T16:57:51.463,250,-0.09784112125635147,-0.16571097075939178,0.04190007597208023,-0.0018127784132957458,-0.007932201027870178,0.0026716850697994232
6,2026-07-09T16:57:51.801,258,-0.09913162887096405,-0.16618220508098602,0.03706124797463417,-0.0013255402445793152,-0.008829832077026367,0.001266930252313614
7,2026-07-09T16:57:52.156,267,-0.09988962858915329,-0.1631496697664261,0.03569144383072853,-0.0013681650161743164,-0.010011672973632812,0.0012700632214546204
8,2026-07-09T16:57:52.494,275,-0.09939631074666977,-0.16515864431858063,0.038314882665872574,-0.001667797565460205,-0.0078706294298172,0.0017738305032253265
9,2026-07-09T16:57:52.875,284,-0.10034013539552689,-0.16376173496246338,0.037271805107593536,-0.0011469125747680664,-0.009797871112823486,0.0018111057579517365
