freeze_index,host_timestamp_iso,frame_idx,table_start_x_m,table_start_y_m,table_start_z_m,table_end_x_m,table_end_y_m,table_end_z_m
1,2026-07-08T16:55:43.005,52,-0.01787493,-0.15193146,0.12096909,-0.010427148,-0.1391459,0.10744663
2,2026-07-08T16:55:44.201,68,-0.010570815,-0.15254551,0.07169801,-0.0029083954,-0.122627,0.07245668
3,2026-07-08T16:55:45.284,83,0.04004176,-0.1615772,0.07687958,0.02701073,-0.14628235,0.076719694
4,2026-07-08T16:55:48.590,132,0.084608,-0.15280661,0.09973701,0.06861976,-0.150236,0.09594117
5,2026-07-08T16:55:49.868,154,0.10209728,-0.12120861,0.102266185,0.080188215,-0.12343499,0.097149864
6,2026-07-08T16:55:52.152,190,0.024039809,-0.14646582,0.092408866,0.0133037465,-0.12025105,0.080373466
7,2026-07-08T16:55:53.499,214,0.0027030385,-0.15182513,0.056831513,0.0013618495,-0.11969242,0.062294733
8,2026-07-08T16:55:54.672,237,-0.0033997505,-0.14456381,0.04180607,-0.00048974925,-0.14314811,0.0033168711
9,2026-07-08T16:55:56.395,269,-0.0038489713,-0.1440696,0.12628841,-0.0030565588,-0.13095407,0.10879434
10,2026-07-08T16:55:57.940,298,0.0077933776,-0.1002984,0.13976756,0.0056978697,-0.10091938,0.09711759
11,2026-07-08T16:56:01.794,370,0.024026405,-0.12658659,0.042310007,-0.0052599073,-0.068231225,0.06733959
12,2026-07-08T16:56:03.793,406,0.0015602971,-0.09570778,0.042569928,-0.0061209607,0.13902472,0.16841032
13,2026-07-08T16:56:05.008,428,-0.0041866517,-0.09776409,0.07252883,0.029850097,0.14345737,0.014444
14,2026-07-08T16:56:08.775,491,-0.027818296,-0.13612543,0.17584391,-0.024189493,-0.14474669,0.16811678
15,2026-07-08T16:56:09.823,508,-0.04262186,-0.17870747,0.11535135,-0.03684805,-0.17719689,0.11088374
16,2026-07-08T16:56:11.123,530,-0.038855676,-0.18682231,0.0639414,-0.032879625,-0.18636984,0.06580492
17,2026-07-08T16:56:12.502,556,-0.027830867,-0.19337535,0.041104298,-0.027869526,-0.1922099,0.047159996
18,2026-07-08T16:56:14.144,586,0.017298331,-0.17930727,0.043745574,0.013449548,-0.16588493,0.0504791
19,2026-07-08T16:56:15.279,606,0.0068676076,-0.15729886,0.058134653,0.0032510415,-0.12783608,0.06049427
20,2026-07-08T16:56:16.978,635,0.004470852,-0.15516254,0.10986932,0.0023018029,-0.14093192,0.09543022
21,2026-07-08T16:56:45.183,1112,0.12372341,0.23425435,0.10504818,0.1312539,0.22728904,0.105946854
22,2026-07-08T16:56:46.118,1128,0.049925983,0.23908313,0.1086748,0.059033427,0.23401873,0.10866369
23,2026-07-08T16:56:47.330,1147,0.03792685,0.22557977,0.09023943,0.04185609,0.22967994,0.09460723
24,2026-07-08T16:56:50.380,1200,-0.010791905,0.19450048,0.06241409,-0.007968839,0.21129586,0.06628406
25,2026-07-08T16:56:51.452,1217,0.0015428315,0.1774988,0.065318905,0.008718437,0.20590372,0.06733826
26,2026-07-08T16:56:55.598,1288,0.027749008,0.14506428,0.10057272,0.027749008,0.14506428,0.10057272
27,2026-07-08T16:56:57.072,1315,0.020921037,0.145502,0.09988242,0.020921037,0.145502,0.09988242
28,2026-07-08T16:56:57.935,1329,0.050155412,0.17277372,0.12204656,0.050155412,0.17277372,0.12204656
29,2026-07-08T16:56:59.035,1346,0.08340826,0.18090051,0.14327177,0.08340826,0.18090051,0.14327177
30,2026-07-08T16:57:01.164,1382,0.11607932,0.24694273,0.13967414,0.11607932,0.24694273,0.13967414
