freeze_index,host_timestamp_iso,frame_idx,table_start_x_m,table_start_y_m,table_start_z_m,table_end_x_m,table_end_y_m,table_end_z_m
1,2026-07-08T16:52:38.300,268,0.0048721754,-0.12398758,0.089535266,0.0025467835,-0.13361122,0.08359467
2,2026-07-08T16:52:39.236,282,-0.021486722,-0.11533249,0.0727544,-0.034109272,-0.06579372,0.041307457
3,2026-07-08T16:52:40.941,310,-0.06756941,-0.11308789,0.077378735,-0.024170866,-0.10305016,0.07007631
4,2026-07-08T16:52:42.031,325,-0.022003697,-0.1265591,0.06373838,-0.022006737,-0.12650965,0.06375152
5,2026-07-08T16:52:43.125,341,0.002682226,-0.1347797,0.06254006,0.0037673095,-0.07707149,0.06679257
6,2026-07-08T16:52:44.118,355,0.040420018,-0.13221061,0.05777794,0.008933656,-0.088679165,0.06515278
7,2026-07-08T16:52:45.031,371,0.07860058,-0.126676,0.057358306,0.045123026,-0.120609686,0.060397133
8,2026-07-08T16:52:50.951,463,0.023383675,-0.14137132,0.16232754,0.023170747,-0.14174427,0.16224028
9,2026-07-08T16:52:55.069,528,4.013567e-05,-0.121652715,0.12611601,0.00091484643,-0.10973713,0.09027865
10,2026-07-08T16:52:56.066,544,-0.0010345607,-0.13084348,0.07790262,0.0035047904,-0.06582099,0.065919444
11,2026-07-08T16:53:04.877,674,0.029685829,-0.15096496,0.12813666,0.035096865,-0.14928965,0.12426469
12,2026-07-08T16:53:06.995,705,0.011397592,-0.18303664,0.10399706,0.016901363,-0.18112232,0.10037463
13,2026-07-08T16:53:10.511,760,-0.029406436,-0.15173262,0.044685926,-0.030044826,-0.15642698,0.039722692
