freeze_index,host_timestamp_iso,frame_idx,sensor_table_x_m,sensor_table_y_m,sensor_table_z_m,mag_table_x_uT,mag_table_y_uT,mag_table_z_uT
1,2026-07-09T16:47:20.889,87,0.08122032135725021,-0.16629064083099365,0.0325104221701622,-0.012958265841007233,0.0065101683139801025,0.006607126444578171
2,2026-07-09T16:47:21.241,95,0.08125299960374832,-0.1659637987613678,0.03276266157627106,-0.013811632990837097,0.0023753494024276733,0.006605133414268494
3,2026-07-09T16:47:21.587,103,0.0653647929430008,-0.1635565459728241,0.033121220767498016,-0.013671677559614182,0.004568353295326233,0.007135722786188126
4,2026-07-09T16:47:21.957,111,0.04754498228430748,-0.16141168773174286,0.04406200349330902,-0.011029738932847977,0.015459239482879639,0.010109435766935349
5,2026-07-09T16:47:22.304,119,0.01296172384172678,-0.1581631749868393,0.03667754307389259,-0.0009505543857812881,0.025633826851844788,0.013750702142715454
6,2026-07-09T16:47:22.651,127,-0.010764720849692822,-0.15427008271217346,0.03620866686105728,0.0023136427626013756,0.02271169424057007,0.013612281531095505
7,2026-07-09T16:47:22.988,134,-0.023043381050229073,-0.1488426923751831,0.03662341460585594,0.012440632097423077,0.023371249437332153,0.0147722028195858
8,2026-07-09T16:47:23.375,142,-0.024285102263092995,-0.13207417726516724,0.03788461908698082,0.024128170232870616,0.03780230134725571,0.02156432718038559
9,2026-07-09T16:47:23.744,150,-0.01975797675549984,-0.11777834594249725,0.046947915107011795,0.030072341673076153,0.043325409293174744,0.024852391332387924
10,2026-07-09T16:47:24.122,158,-0.01104672159999609,-0.10931980609893799,0.048220742493867874,0.038330371491611004,0.059476759284734726,0.033288758248090744
11,2026-07-09T16:47:24.469,165,0.006754168309271336,-0.10846579819917679,0.04479546844959259,0.00604675617069006,0.11044224421493709,0.048603884875774384
12,2026-07-09T16:47:24.825,173,0.01883762702345848,-0.10650379955768585,0.04912591353058815,-0.0219247261993587,0.14328943938016891,0.040266554802656174
13,2026-07-09T16:47:25.161,181,0.024346156045794487,-0.11818811297416687,0.0468352735042572,-0.028696502558887005,0.0731535330414772,0.016846075654029846
14,2026-07-09T16:47:25.515,189,0.04569467902183533,-0.1412806212902069,0.03848022595047951,-0.020450329408049583,0.019963763654232025,0.010174933820962906
15,2026-07-09T16:47:25.869,197,0.07403161376714706,-0.15141065418720245,0.034719184041023254,-0.01719030737876892,0.010758906602859497,0.008534226566553116
16,2026-07-09T16:47:26.239,205,0.09910338371992111,-0.1569548100233078,0.03415435925126076,-0.015502654016017914,0.0016086548566818237,0.005703773349523544
17,2026-07-09T16:47:26.592,213,0.1278771311044693,-0.149918794631958,0.03469700738787651,-0.011876806616783142,-0.0018570125102996826,0.006290573626756668
18,2026-07-09T16:47:26.961,221,0.15403375029563904,-0.14997081458568573,0.03285427764058113,-0.010168015956878662,-0.00834791362285614,0.0036166831851005554
19,2026-07-09T16:47:27.324,229,0.17101716995239258,-0.13581626117229462,0.03329630196094513,-0.010374069213867188,-0.00871296226978302,0.002435479313135147
20,2026-07-09T16:47:27.665,237,0.17373020946979523,-0.11760910600423813,0.03349016606807709,-0.010527253150939941,-0.008282460272312164,0.005577553063631058
21,2026-07-09T16:47:28.038,244,0.16159111261367798,-0.11700908839702606,0.060947250574827194,-0.013118013739585876,-0.011287808418273926,0.0016871802508831024
22,2026-07-09T16:47:28.412,252,0.14125971496105194,-0.09004630148410797,0.09812605381011963,-0.013687565922737122,-0.010793790221214294,-0.0016310438513755798
