host_timestamp_iso,host_time_monotonic_s,frame_idx,raw_serial_line,sensor_data_received,serial_time_us,raw_mag_x_uT,raw_mag_y_uT,raw_mag_z_uT,raw_acc_x,raw_acc_y,raw_acc_z,raw_gyr_x,raw_gyr_y,raw_gyr_z,sensor_table_x_m,sensor_table_y_m,sensor_table_z_m,mag_table_x_uT,mag_table_y_uT,mag_table_z_uT,table_visible,board88_visible
2026-07-09T16:29:28.476,10412.109,0,"281567761,60.00,-5.00,212.50,-0.03,-0.06,-1.01,3.97,4.88,0.12",1,281567761.0,60.0,-5.0,212.5,-0.03,-0.06,-1.01,3.97,4.88,0.12,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:28.609,10412.234,1,"281784005,92.50,-5.00,227.50,-0.03,-0.06,-1.01,4.09,4.76,0.12",1,281784005.0,92.5,-5.0,227.5,-0.03,-0.06,-1.01,4.09,4.76,0.12,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:28.681,10412.312,2,"282000291,110.00,37.50,187.50,-0.03,-0.05,-1.01,4.15,4.76,0.06",1,282000291.0,110.0,37.5,187.5,-0.03,-0.05,-1.01,4.15,4.76,0.06,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:28.751,10412.375,3,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:28.799,10412.421,4,"282216618,72.50,12.50,207.50,-0.03,-0.06,-1.01,4.15,4.94,0.00",1,282216618.0,72.5,12.5,207.5,-0.03,-0.06,-1.01,4.15,4.94,0.0,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:28.853,10412.484,5,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:28.927,10412.562,6,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:28.974,10412.609,7,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:29.016,10412.64,8,"282432935,80.00,-12.50,180.00,-0.03,-0.06,-1.01,4.09,4.70,0.18",1,282432935.0,80.0,-12.5,180.0,-0.03,-0.06,-1.01,4.09,4.7,0.18,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:29.068,10412.703,9,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:29.116,10412.75,10,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:29.166,10412.796,11,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:29.229,10412.859,12,"282650265,97.50,57.50,167.50,-0.04,-0.06,-1.01,4.09,4.76,0.06",1,282650265.0,97.5,57.5,167.5,-0.04,-0.06,-1.01,4.09,4.76,0.06,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:29.274,10412.906,13,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:29.316,10412.953,14,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:29.361,10412.984,15,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:29.434,10413.062,16,"282868627,82.50,-2.50,160.0",1,282868627.0,82.5,-2.5,160.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:29.485,10413.109,17,"0,-0.03,-0.06,-1.01,4.09,4.58,0.06",1,0.0,-0.03,-0.06,-1.01,4.09,4.58,0.06,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:29.532,10413.156,18,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:29.597,10413.234,19,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:29.641,10413.265,20,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:29.695,10413.328,21,"283085002,87.50,42.50,152.50,-0.03,-0.06,-1.01,4.03,4.52,0.00",1,283085002.0,87.5,42.5,152.5,-0.03,-0.06,-1.01,4.03,4.52,0.0,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:29.740,10413.375,22,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
2026-07-09T16:29:29.785,10413.421,23,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0
